timestamp,temperature,vibration,pressure,rpm,current,load,label,failure_type
2025-12-18 16:49:24,64.87,0.81,1.45,1432,13.41,63,1,0
2025-12-18 16:49:29,62.48,2.5,1.47,1443,16.71,90,1,0
2025-12-18 16:49:34,58.91,0.69,1.31,1416,11.96,59,0,0
2025-12-18 16:49:39,80.99,1.52,1.64,1430,13.35,63,2,1
2025-12-18 16:49:44,49.06,4.46,1.25,1401,16.66,72,2,3
2025-12-18 16:49:49,73.48,3.22,1.33,1460,12.24,79,2,1
2025-12-18 16:49:54,92.09,3.0,1.39,1426,16.09,91,2,2
2025-12-18 16:49:59,52.38,3.99,1.88,1431,17.04,61,2,3
2025-12-18 16:50:19,91.71,1.21,1.85,1490,17.11,96,2,2
2025-12-18 16:50:24,85.12,2.64,1.98,1456,15.08,67,2,1
2025-12-18 16:50:29,94.53,0.99,1.56,1455,15.93,69,2,2
2025-12-18 16:50:34,41.3,0.98,1.71,1467,10.62,52,0,0
2025-12-18 16:50:39,60.96,2.88,1.24,1426,14.43,76,2,1
2025-12-18 16:50:44,77.26,4.19,1.97,1467,13.61,78,2,3
2025-12-18 16:50:49,69.44,3.12,1.93,1423,17.24,74,2,1
2025-12-18 16:50:54,88.04,0.21,1.79,1454,15.75,73,2,1
2025-12-18 16:50:59,91.29,3.02,1.41,1440,13.12,56,2,2
2025-12-18 16:51:04,80.53,1.78,1.55,1487,13.1,51,2,1
2025-12-18 16:51:09,42.71,0.99,1.35,1486,11.12,93,0,0
2025-12-18 16:51:14,75.3,3.92,1.36,1423,11.11,81,2,3
2025-12-18 16:51:19,52.1,1.56,1.23,1430,17.1,83,2,1
2025-12-18 16:51:24,49.21,2.22,1.33,1461,10.02,57,1,0
2025-12-18 16:51:29,50.7,2.24,1.86,1432,15.01,63,1,0
2025-12-18 16:51:34,72.4,3.71,1.54,1450,10.54,77,2,3
2025-12-18 16:51:39,62.73,2.79,1.71,1430,14.51,99,1,0
2025-12-18 16:51:44,79.5,1.48,1.47,1429,15.6,61,1,0
2025-12-18 16:51:49,66.35,2.92,1.96,1474,10.78,60,1,0
2025-12-18 16:51:54,63.63,0.31,1.98,1437,12.49,90,1,0
